Section,ServerName,SymbolCode,IsBookA,BidPrice,AskPrice,Volume,ContractSize,UpdateDateTime
Default,C1,GBPCAD,1,1.8535000,1.8541700,-0.7900000,100000.00,5/6/2014 8:12:46 AM
Default,C1,GBPCHF,1,1.4815100,1.4821500,2.2600000,100000.00,5/6/2014 8:12:46 AM
Default,C1,GBPJPY,1,172.7390000,172.7910000,-7.2500000,100000.00,5/6/2014 8:12:46 AM
Default,C1,GBPNZD,1,1.9403000,1.9413600,0.1600000,100000.00,5/6/2014 8:12:46 AM
Default,C1,GBPUSD,1,1.6933200,1.6935600,-36.5800000,100000.00,5/6/2014 8:12:46 AM
Default,C1,NZDJPY,1,88.9780000,89.0540000,-1.4000000,100000.00,5/6/2014 8:12:46 AM
Default,C1,NZDUSD,1,0.8722400,0.8728300,-12.0100000,100000.00,5/6/2014 8:12:46 AM
Default,C1,UK100.M,0,6769.5000000,6771.5000000,-0.0200000,10.00,5/6/2014 8:12:46 AM
Default,C1,US30.M,0,16475.0000000,16479.0000000,-1.3000000,5.00,5/6/2014 8:12:46 AM
Default,C1,US500.M,0,1879.2500000,1880.0000000,-0.3000000,50.00,5/6/2014 8:12:46 AM
Default,C1,USDCAD,1,1.0945100,1.0948100,1.7100000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDCHF,1,0.8749400,0.8751700,11.8800000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDCNH,1,6.2281000,6.2299000,-1.2500000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDDKK,1,5.3622100,5.3643000,0.2000000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDHKD,1,7.7518000,7.7530500,24.0000000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDJPY,1,102.0090000,102.0290000,11.6800000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDNOK,1,5.9279900,5.9341800,-0.3500000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDSEK,1,6.5144900,6.5221600,1.2600000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDSGD,1,1.2492400,1.2497800,2.1500000,100000.00,5/6/2014 8:12:46 AM
Default,C1,USDTRY,1,2.0964200,2.0970500,-0.2600000,100000.00,5/6/2014 8:12:46 AM
Default,C1,XAGUSD,0,19.5990000,19.6390000,3.0000000,5000.00,5/6/2014 8:12:46 AM
Default,C1,XAUUSD,0,1310.8300000,1311.2300000,2.4600000,100.00,5/6/2014 8:12:46 AM
